thread_id,item_id,parent_id,depth,kind,author,created_utc,score,title,text,permalink
46383076,46383076,,0,post,A36,2025-12-25T08:47:04Z,1,Ask HN: Would you trust software to automatically move and optimize your money?,"Hi HN,

I’m building a consumer fintech product that acts like an autonomous financial copilot.

The idea is simple in theory: instead of dashboards, alerts, or budgeting tools that require constant user input, the system actually executes financial actions on the user’s behalf, e.g. moving cash between accounts, optimizing savings, allocating funds, and automating routine financial decisions.

The goal is to reduce financial decision fatigue. Most people know what they should do with money, but not consistently due to time, stress, or complexity.

Would love to get feedback and please do be harsh as possible when you're giving one.

Thanks.",https://news.ycombinator.com/item?id=46383076
46383076,46384136,46383076,1,comment,A37,2025-12-25T12:57:04Z,0,,"> The idea is simple in theory

Unfortunately it is very difficult in practice. And a wise person once said:
 “Theory and practice sometimes clash. And when that happens, theory loses. Every single time.”

The problem will become thorny when you consider what can be automated vs. what can't be, and what should be vs. what shouldn't. IOW, what do you consider a ""routine decision"".. after all it is subjective.

It is completely unreasonable to expect that people will give you their money and then never want to control it in some way. In fact, it's a contradiction really.

So I certainly applaud you for considering the problem and more so if you make an attempt at some implementation. However, it is a bit like asking ""will AI become self-aware and make humans obsolete"". For the foreseeable future people will not relinquish the ability to somehow ""pull the plug"".",https://news.ycombinator.com/item?id=46384136
46383076,46388558,46383076,1,comment,A38,2025-12-26T02:04:09Z,0,,"Short answer:
Never

Why you might think this good idea. LLMS are great at discussing best practices. I could probably improve my financial health by 20% by asking for and following best practices advice.

Why I’d never put it in control: LLMs are shit at doing things right the first time, dealing with the unexpected, dealing with the real world.

If you haven’t had an LLM make catastrophic, terrible and insane mistakes you haven’t been using it enough to see how it can go wrong and have no business either making or using AI for anything important.",https://news.ycombinator.com/item?id=46388558
46776065,46776065,,0,post,A35,2026-01-27T06:00:43Z,3,"A Lightweight, Non-Intrusive Approach to Website Monitoring (Ops Perspective)","I’m a Linux ops engineer working in the DevOps/SRE space. and over the past few months, I’ve been working on a small *website monitoring* side project in my spare time:
 https://inostop.com/en/

Most of the monitoring and ops tools I’ve built before were used internally within companies. This is my first attempt to turn a relatively complete tool into something publicly usable.

In day-to-day operations, website monitoring usually involves:

- Infrastructure monitoring
- Application / API monitoring
- Partial CDN monitoring

These are often built on top of tools like Prometheus or Zabbix, combined with log systems (ELK / OpenObserve) and distributed tracing (OpenTelemetry).
 While powerful, this stack can feel *heavyweight and overkill* when you just want to quickly monitor a website’s availability.

That led me to experiment with a simpler approach:

- Non-intrusive (no code changes required/Sidecar)
- Out-of-band probing to estimate website availability
- Conservative thresholds to reduce false alarms

So far, the project covers:

- Domain and TLS certificate monitoring, Ping, Telnet checks
- Basic alert thresholds and multi-stage alert silencing to reduce alert fatigue

There are still open challenges:

- There’s still room to improve the UX of the Website Monitoring results (backend is written in Go).

- AI currently works only as an analysis layer on collected data, rather than actively performing real network probes

This project is still evolving (I’ve rewritten parts of it more times than I’d like to admit ).

If you’d like to try it out, there’s an early access code *95f40841e4888668c4d5f7e88506075d*, valid for 1 months, mainly for collecting early feedback.

I’d love to hear feedback from the community:

- Does a lightweight, non-intrusive website monitoring approach make sense in practice?
- Are there better patterns or architectures worth exploring?
- If you’re a QA or test engineer, I’d love to hear your thoughts.",https://news.ycombinator.com/item?id=46776065
47104548,47104548,,0,post,A34,2026-02-21T20:45:06Z,1,Why optimizing AUC may be insufficient for clinical deterioration systems,"Medical ML research and competitions often optimize ROC-AUC as the primary performance metric.

However, in real hospital environments, the central question is not classification accuracy — it is escalation timing.

In deterioration detection systems:
 • A noisy alert creates alarm fatigue.
 • A late alert costs lives.
 • A static classifier may fail to reflect dynamic physiology.

I’ve been exploring a framework that introduces:
 • Dual-threshold activation (high/low)
 • Temporal stability validation
 • False-alarm suppression logic
 • Governed escalation timing

The aim is to shift from probability scoring toward structured decision triggering.

I’m curious how others here would approach modeling escalation timing in a clinically responsible way.

Would love perspectives from ML engineers and clinicians.",https://news.ycombinator.com/item?id=47104548
48195021,48195021,,0,post,A8,2026-05-19T15:54:06Z,74,Show HN: Superlog (YC P26) – Observability that installs itself and fixes bugs,"Hey HN, we’re Nico and Arseniy, co-founders of Superlog (https://superlog.sh). We're building a self-installing, self healing observability tool meant not to be opened. It has a wizard that daily sets up proper logging and an agent that investigates errors and opens PRs.

Super short demo: https://www.youtube.com/watch?v=xFhU9Mk247M.

In our earlier startups, we tried Sentry, Datadog, Grafana, Dash0, and nothing was good enough. Proper telemetry and alerting still requires a ton of manual setup. We struggled with adding good logs, so debugging was tough, especially as codebases grow at a faster pace. Meanwhile, the Datadog/Dash0 bill kept climbing, and we still spent engineering hours to learn, configure, and maintain our observability tooling.

With Sentry, we found ourselves flooded by a stream of alerts into our Slack channel, most were duplicates or lacked context, so alert fatigue/constant interrupts were a real pain. The #ops notification is consistently the worst feeling on a Saturday morning

We’ve seen too many times servers run out of memory and disk, and three AWS metrics giving us three different values. Half of the graphs on dashboards are normally empty or outdated, and manually clicking through UIs, especially when the team is small, seems like a huge waste of time.

At some point we realized that solving this problem would be more valuable than the things we had been working on, and we had the expertise to do it, since Arseniy had spent years at Datadog, getting paged during the night to debug production incidents. So we decided to build a platform that would just work: agent-first, MCP-native, zero-setup.

Here’s how Superlog works: we have a wizard that scans your repo, and automatically instruments it with well-structured logs, traces and metrics via OpenTelemetry. We make sure to highlight main failure modes, endpoint performance, usage per tenant, and LLM/upstream cost (by callsite, tenant and model).

Errors get fingerprinted and grouped into incidents, so you see one issue, not a thousand duplicates. When you get a notification from Superlog, you see a clear failure summary, its inferred severity and impact upfront.

Then the agent investigates and tries to solve the issue. If it has enough context, it produces a concise and tested PR. If it doesn't, it posts its findings for the investigating team, and automatically pulls in the engineers that could contribute more context based on documentation, previous investigations and Slack threads.

Either way the output is one clean PR per incident, posted in Slack, that you can
merge, ignore, or open as a Claude Code session and modify.

Three things we think are different from other observability vendors:

(1) We solve the setup pain. The wizard will instrument everything with native OTel SDKs, respecting the semantic conventions, with proper service and environment tagging. We’re also working on native automatic dashboards and alerts, so that you can see what’s going on in a glance and don’t miss subtle failure modes.

(2) Our telemetry doesn’t decay. The wizard runs daily, and keeps adding logs, alerts and dashboards where it’s needed. You don't have to remember to instrument new features. The next time something breaks, the data you need to debug it is already there.

(3) Our goal is to solve alert fatigue. We use agents to merge similar errors and refine the summaries, giving you relevant information upfront. We have a custom evaluation setup that makes sure that our summaries are dense and correct, and severity and impact is on point. We also give you confidence scores for every LLM-enhanced metric so that wrong guesses don’t get boosted.

Important: superlog telemetry is vendor-neutral, so you keep all the logs/metrics/traces we install. Pricing is on the site. We're early, so expect rough edges and please tell us when you find them.

You can try it at https://superlog.sh. We'd love to hear what you're using today, what's broken about it, and whether the ""one mergeable PR per incident"" model sounds useful or terrifying. Especially keen to hear from folks running integration-heavy products, anyone who's rolled their own observability, and anyone who has tried Sentry / Datadog MCPs and given up. Comments and feedback welcome!",https://news.ycombinator.com/item?id=48195021
48195021,48195557,48195021,1,comment,A10,2026-05-19T16:30:01Z,0,,"There's very few startups that I look at these days and don't think to myself, ""I could just write a Claude skill for that"". This one seems pretty cool. Congrats on launch",https://news.ycombinator.com/item?id=48195557
48195021,48195611,48195021,1,comment,A11,2026-05-19T16:34:08Z,0,,"Love the concept! Some feedback: I went to sign up to give it a go, but the set up process left me feeling a bit untrusting - so I backed out for now. I'd prefer more explanation about what to expect, what I will get, how it is safe, etc before asking me to run a prompt.",https://news.ycombinator.com/item?id=48195611
48195021,48195848,48195021,1,comment,A12,2026-05-19T16:49:23Z,0,,I would love to try it but I got stuck when it asked for Slack since I dont use that.,https://news.ycombinator.com/item?id=48195848
48195021,48195892,48195611,2,comment,A9,2026-05-19T16:51:27Z,0,,"Thank you! Very good point.

Right now, the prompt will enumerate all the services and install the OpenTelemetry SDK (https://opentelemetry.io/) in each service.

Then for every service, the skill will make sure that:

- Every time something breaks and an operator needs to take a look, there's an error log
- All important steps in a process emit info/debug logs (so that an issue can be investigated)
- Operations are covered with spans with relevant attributes.
- Cost (LLM tokens), API performance (latency/RED), tenant activity (cost/usage per tenant) are covered by metrics so that you can use Superlog MCP to build cool dashboards.

For most common stacks like NextJS, FastAPI, React Native/Expo etc. we have a custom skill that explains the best practices for this specific technology. For all the other stacks we ask the agent to use general best practices.

We have evals for all custom skills where we start from a starter project, run the agent with the skill and use LLM-as-a-judge to compare it to a human-written 'golden patch'.

In general, we try to:

- minimize diff, so that the instrumentation is easy to review
- make small chunks of additive diffs vs huge indents / moving logic around
- minimize new dependencies
- use well-supported and audited OTel SDKs vs custom libs

You can read the skills here: https://github.com/superloglabs/skills.

I'll make sure to add this to our landing and print this out as the agent writes the code!

Thank you for the feedback!",https://news.ycombinator.com/item?id=48195892
